date,region,product,total_sales,target_daily,sales_yesterday,avg_7d_sales,delta_vs_yesterday,delta_vs_target,day_name,is_weekend,quantity,transaction_count
2023-12-04,Bandung,Beauty,1500,576,25,476,5900.0,160.5,Monday,False,3,1
2023-12-06,Bandung,Beauty,50,590,1500,686,-96.7,-91.5,Wednesday,False,2,1
2023-12-09,Bandung,Beauty,100,583,50,681,100.0,-82.9,Saturday,True,2,1
2023-12-20,Bandung,Beauty,900,578,100,682,800.0,55.8,Wednesday,False,3,1
2023-12-26,Bandung,Beauty,900,583,900,668,0.0,54.3,Tuesday,False,3,1
2023-12-29,Bandung,Beauty,1500,589,900,511,66.7,154.9,Friday,False,3,1
2023-12-02,Bandung,Clothing,1530,550,300,761,410.0,178.3,Saturday,True,4,2
2023-12-06,Bandung,Clothing,1500,561,1530,808,-2.0,167.2,Wednesday,False,3,1
2023-12-08,Bandung,Clothing,1000,573,1500,890,-33.3,74.6,Friday,False,2,1
2023-12-10,Bandung,Clothing,60,578,1000,1019,-94.0,-89.6,Sunday,True,2,1
2023-12-11,Bandung,Clothing,900,573,60,1013,1400.0,57.0,Monday,False,3,1
2023-12-14,Bandung,Clothing,600,578,900,1013,-33.3,3.9,Thursday,False,2,1
2023-12-15,Bandung,Clothing,50,579,600,841,-91.7,-91.4,Friday,False,1,1
2023-12-17,Bandung,Clothing,300,574,50,806,500.0,-47.7,Sunday,True,1,1
2023-12-24,Bandung,Clothing,150,572,300,630,-50.0,-73.8,Sunday,True,3,1
2023-12-26,Bandung,Clothing,100,568,150,437,-33.3,-82.4,Tuesday,False,2,1
2023-12-28,Bandung,Clothing,2000,564,100,309,1900.0,254.5,Thursday,False,4,1
2023-12-02,Bandung,Electronics,1500,634,60,456,2400.0,136.7,Saturday,True,3,1
2023-12-03,Bandung,Electronics,600,648,1500,441,-60.0,-7.4,Sunday,True,2,1
2023-12-05,Bandung,Electronics,2000,649,600,520,233.3,208.3,Tuesday,False,4,1
2023-12-08,Bandung,Electronics,900,670,2000,677,-55.0,34.4,Friday,False,3,1
